String,Trigger
Turn on the lights,#LIGHTS_ON
Switch on the light,#LIGHTS_ON
Bring the lights on,#LIGHTS_ON
Light up the room,#LIGHTS_ON
Wake up light,#LIGHTS_ON
Wake up light,#LIGHTS_ON
Wake up light,#LIGHTS_ON
Wake up light,#LIGHTS_ON
Get the lights running,#LIGHTS_ON
Get the lights running,#LIGHTS_ON
Get the lights running,#LIGHTS_ON
Get the lights running,#LIGHTS_ON
Turn the lights on,#LIGHTS_ON
Switch the light on,#LIGHTS_ON
Turn on the bulb,#LIGHTS_ON
Light up the bulb,#LIGHTS_ON
Turn the bulb on,#LIGHTS_ON
Switch on the bulb,#LIGHTS_ON
Bring in the lights,#LIGHTS_ON
Bring in the lights,#LIGHTS_ON
Bring in the lights,#LIGHTS_ON
Bring the bulb on up,#LIGHTS_ON
Lights in,#LIGHTS_ON
Light up,#LIGHTS_ON
Brighten up the room,#LIGHTS_ON
Brighten up the room,#LIGHTS_ON
Brighten up the room,#LIGHTS_ON
Brighten up the room,#LIGHTS_ON
Bulb on,#LIGHTS_ON
Put on the lights,#LIGHTS_ON
Make it bright,#LIGHTS_ON
Make it bright,#LIGHTS_ON
Make it bright,#LIGHTS_ON
Make it bright,#LIGHTS_ON
Lights on,#LIGHTS_ON
Brighten the light to full,#LIGHTS_ON
Brighten the light to full,#LIGHTS_ON
I want to wake up,#LIGHTS_ON
I want to wake up,#LIGHTS_ON
I want to wake up,#LIGHTS_ON
I want to wake up,#LIGHTS_ON
I need to wake up,#LIGHTS_ON
I need to wake up,#LIGHTS_ON
I need to wake up,#LIGHTS_ON
I am awake,#LIGHTS_ON
I am awake,#LIGHTS_ON
I am awake,#LIGHTS_ON
Enough sleep for today,#LIGHTS_ON
Enough sleep for today,#LIGHTS_ON
Enough sleep for today,#LIGHTS_ON
Enough sleep for today,#LIGHTS_ON
It is time to get up,#LIGHTS_ON
It is time to get up,#LIGHTS_ON
It is time to get up,#LIGHTS_ON
Put up the lights,#LIGHTS_ON
Plug on the lights,#LIGHTS_ON
Light up the room,#LIGHTS_ON
Illuminate the room,#LIGHTS_ON
Illuminate the room,#LIGHTS_ON
Illuminate the room,#LIGHTS_ON
start lights,#LIGHTS_ON
Turn off the lights,#LIGHTS_OFF
Switch off the light,#LIGHTS_OFF
Bring down the lights,#LIGHTS_OFF
Darken up the room,#LIGHTS_OFF
Darken up the room,#LIGHTS_OFF
Darken up the room,#LIGHTS_OFF
Darken up the room,#LIGHTS_OFF
I want to sleep,#LIGHTS_OFF
I want to sleep,#LIGHTS_OFF
I want to sleep,#LIGHTS_OFF
I want to sleep,#LIGHTS_OFF
Get the lights switched off,#LIGHTS_OFF
Turn the lights off,#LIGHTS_OFF
Switch the light off,#LIGHTS_OFF
Turn off the bulb,#LIGHTS_OFF
Dim the room,#LIGHTS_OFF
Dim the room,#LIGHTS_OFF
Dim the room,#LIGHTS_OFF
Dim the room,#LIGHTS_OFF
Turn the bulb off,#LIGHTS_OFF
Switch off the bulb,#LIGHTS_OFF
Bring up the darkness,#LIGHTS_OFF
Bring up the darkness,#LIGHTS_OFF
Bring up the darkness,#LIGHTS_OFF
Bring up the darkness,#LIGHTS_OFF
Dark and darken,#LIGHTS_OFF
Dark and darken,#LIGHTS_OFF
Dark and darken,#LIGHTS_OFF
Dark and darken,#LIGHTS_OFF
Black out,#LIGHTS_OFF
Black out,#LIGHTS_OFF
Black out,#LIGHTS_OFF
Black out,#LIGHTS_OFF
Lights out,#LIGHTS_OFF
Light off,#LIGHTS_OFF
Bulb off,#LIGHTS_OFF
Put off the lights,#LIGHTS_OFF
Dim the lights,#LIGHTS_OFF
Turn lights off,#LIGHTS_OFF
Dim the light to zero,#LIGHTS_OFF
Dim the light to zero,#LIGHTS_OFF
Dim the light to zero,#LIGHTS_OFF
Dim the light to zero,#LIGHTS_OFF
I am feeling sleepy,#LIGHTS_OFF
I am feeling sleepy,#LIGHTS_OFF
I am feeling sleepy,#LIGHTS_OFF
I need to sleep now,#LIGHTS_OFF
I need to sleep now,#LIGHTS_OFF
I need to sleep now,#LIGHTS_OFF
I need to sleep now,#LIGHTS_OFF
I need some rest,#LIGHTS_OFF
I need some rest,#LIGHTS_OFF
I need some rest,#LIGHTS_OFF
I need some rest,#LIGHTS_OFF
Goodnight,#LIGHTS_OFF
Goodnight,#LIGHTS_OFF
Goodnight,#LIGHTS_OFF
Shut off the lights,#LIGHTS_OFF
Put down the lights,#LIGHTS_OFF
Stop lights,#LIGHTS_OFF
Make it dark,#LIGHTS_OFF
Make it dark,#LIGHTS_OFF
Unplug the light,#LIGHTS_OFF
Unplug the light,#LIGHTS_OFF
Unplug the light,#LIGHTS_OFF
Turn out the light,#LIGHTS_OFF
Turn on the fan,#FAN_ON
Switch on the fan,#FAN_ON
Spin the fan,#FAN_ON
Spin the fan,#FAN_ON
Spin the fan,#FAN_ON
Start the fan,#FAN_ON
Start the fan,#FAN_ON
Start the fan,#FAN_ON
I want some wind,#FAN_ON
I want some wind,#FAN_ON
I want some wind,#FAN_ON
I want some wind,#FAN_ON
